nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
MOORPARK,40,3720840.0,24668,2855.0,19731.0,1099674.87,447721.25000000006,1832440.4400000006,37903.0,1025586,3263.0,0.7106615143897349,5522
ENFIELD,131,857298.0,276870,49838.0,216730.0,15144653.740000002,6165730.769999999,23613380.38,448714.60000000003,12423965,23166.0,0.7106701304658909,5523
MCCAMEY,4,319008.0,6158,1038.0,5072.0,238368.17,97028.97,337641.0,8426.2,217594,566.0,0.7107042415448146,5524
BAY MINETTE,32,1168224.0,82027,11480.0,67709.0,3533991.8,1438433.91,5279601.82,147071.6,4142195,7656.0,0.7107178681207487,5525
GATLINBURG,4,150952.0,20187,3501.0,16455.0,1065310.26,433502.61,1507429.3900000001,29648.9,814372,1177.0,0.7107693570845839,5526
REDMOND,336,32858190.0,277489,42566.0,219227.0,12571054.88,5113982.31,19346988.1,474921.1,13121899,39353.0,0.710829994019368,5527
CHILLICOTHE,368,17658012.0,588204,89091.0,478004.0,26877828.26999999,10933931.930000007,44584095.55000002,848431.7000000004,23447673,54205.0,0.710832506284645,5528
COMMERCE,60,3452402.0,229005,38657.0,186553.0,8504024.47,3459291.4800000014,12110653.939999998,293227.1,7238337,10659.0,0.710841752031133,5529
SAINT ALBANS,120,1398577.0,121348,17366.0,96170.0,5130276.209999999,2086637.9899999995,7972365.960000002,187499.50000000003,5189413,14921.0,0.7108683944171043,5530
LATROBE,179,2801350.0,330057,52220.0,269453.0,16262030.070000002,6614067.009999999,24565714.47000001,502779.9999999999,14032846,37542.0,0.710874324983412,5531
NEPHI,20,1692960.0,40925,6202.0,33649.0,1784894.8699999999,725941.0000000001,2652645.87,60029.2,1665146,2547.0,0.7108767607338666,5532
EAST GREENWICH,137,386066.0,206451,25422.0,169617.0,8438888.78,3431434.2300000004,13768159.649999999,301299.1999999999,8475740,22582.0,0.7109232640839485,5533
TUCKER,160,4858524.0,719220,108239.0,591236.0,24674463.33000001,10032499.870000003,38486899.690000005,889668.1000000001,18318575,29659.0,0.7109369721520321,5534
DEL VALLE,4,314468.0,3176,484.0,2654.0,142716.18000000002,58024.81,202639.25000000003,5629.5,163974,344.0,0.7109468773667003,5535
DENHAM SPRINGS,74,5233584.0,127089,19739.0,104494.0,5241849.86,2131117.5900000003,7508502.369999998,206587.60000000003,5826961,11172.0,0.7109552423156296,5536
ALIQUIPPA,58,870058.0,171552,29068.0,137577.0,8551518.910000002,3476685.6100000013,12504288.03,243019.7,6721405,11902.0,0.710955562468271,5537
ATMORE,25,912550.0,95943,13251.0,81354.0,4179121.0799999996,1698998.6499999997,5968154.91,156644.60000000006,4325654,6899.0,0.7109622246500242,5538
LAKEWAY,80,6298848.0,77928,12978.0,62234.0,4470702.049999998,1817511.4000000004,6662786.079999998,142556.50000000006,4003553,10833.0,0.7109653776145273,5539
BARBERTON,108,4773924.0,201032,30068.0,163197.0,10305143.250000002,4188740.7500000023,15360683.59,332888.50000000006,9202550,18529.0,0.7109994291385249,5540
HEFLIN,3,108792.0,42374,6315.0,35786.0,1656433.8900000001,673261.98,2346435.41,54387.0,1515176,1985.0,0.7110086390804308,5541
ATTICA,7,162780.0,16685,3065.0,13370.0,877456.2999999999,356631.12,1241780.43,23543.0,650433,993.0,0.7110163233006621,5542
CATOOSA,12,888180.0,12264,2008.0,9520.0,481567.04,195700.8,692273.3999999999,18030.7,494693,1358.0,0.711043713518126,5543
CEDAR CITY,84,7116516.0,110983,17054.0,90217.0,5578646.3999999985,2267032.63,8173024.9300000025,189186.9,5271618,13204.0,0.7110469825070067,5544
JARVISBURG,2,55894.0,16198,2920.0,13168.0,599319.04,243542.43,848190.03,20482.4,550800,756.0,0.7110528376626352,5545
MIDDLESBORO,54,2212110.0,194241,35510.0,154471.0,7441784.770000001,3023004.2500000005,10720523.92,227255.69999999998,6171663,8186.0,0.7111261159472473,5546
CARRABELLE,5,161611.0,2609,415.0,2021.0,109365.89,44426.49,179389.73,4258.5,113046,328.0,0.711126845166191,5547
RUPERT,29,2245052.0,49187,7318.0,39900.0,2157094.7499999995,876226.1699999998,3269922.36,77837.8,2190525,4680.0,0.711133047537878,5548
CLIO,21,979030.0,56348,8394.0,46373.0,2687770.599999999,1091718.23,3876235.9999999995,100468.59999999999,2787378,5142.0,0.7111465917469055,5549
BLOOMSDALE,7,445389.0,8654,1202.0,6820.0,327912.39999999997,133189.08000000002,611118.5,11658.5,323622,861.0,0.7111501789150622,5550
POCAHONTAS,45,3075247.0,138453,19994.0,114546.0,4497862.8100000005,1826696.62,6795172.679999999,184510.00000000006,5063218,9842.0,0.7111740920110226,5551
